Picklist_date,picklist_no,picklist_type,stores_in_picklist
2025-12-08,1214,bulk,"396857.0,400356.0"
2025-12-08,1215,bulk,"394577.0,396204.0"
2025-12-08,1216,bulk,"399370.0,400989.0"
2025-12-08,1217,bulk,"398161.0,400698.0"
2025-12-08,1218,bulk,"400356.0,392645.0"
2025-12-08,1219,multi order,"392645.0,400061.0"
2025-12-08,1220,bulk,"396857.0,396204.0"
2025-12-08,1221,multi order,"396857.0,400356.0"
2025-12-08,1222,bulk,"398161.0,400356.0"
2025-12-08,1223,multi order,"396857.0,396204.0"
2025-12-08,1224,multi order,"398161.0,400989.0"
2025-12-08,1225,bulk,"400698.0,392645.0"
2025-12-08,1226,multi order,"396857.0,399370.0"
2025-12-08,1227,multi order,"392645.0,400061.0"
2025-12-08,1228,multi order,"396857.0,400061.0"
2025-12-08,1229,bulk,"396204.0,392645.0"
2025-12-08,1230,bulk,"394577.0,400061.0"
2025-12-08,1231,bulk,"400356.0,400061.0"
2025-12-08,1232,multi order,"400698.0,400989.0"
2025-12-08,1233,bulk,"396857.0,400698.0"
2025-12-08,1234,multi order,"399370.0,394542.0"
2025-12-08,1235,bulk,"394577.0,394542.0"
2025-12-08,1236,bulk,"399370.0,392645.0"
2025-12-08,1237,bulk,"394577.0,401071.0"
2025-12-08,1238,multi order,"398161.0,400989.0"
2025-12-08,1239,bulk,"400356.0,400061.0"
2025-12-08,1240,bulk,"396857.0,392645.0"
2025-12-08,1241,multi order,"400356.0,400061.0"
2025-12-08,1242,bulk,"394577.0,396857.0"
2025-12-08,1243,multi order,"396857.0,400061.0"
2025-12-08,1244,bulk,"396204.0,401071.0"
2025-12-08,1245,bulk,"400356.0,400061.0"
2025-12-08,1246,bulk,"400989.0,400061.0"
2025-12-08,1247,multi order,"396857.0,396204.0"
2025-12-08,1248,multi order,"399370.0,400989.0"
2025-12-08,1249,bulk,"398161.0,396204.0"
2025-12-08,1250,multi order,"396857.0,400061.0"
2025-12-08,1251,multi order,"396857.0,400989.0"
2025-12-08,1252,bulk,"400356.0,392645.0"
2025-12-08,1253,bulk,"400989.0,394542.0"
2025-12-08,1254,multi order,"396857.0,400989.0"
2025-12-08,1255,bulk,"396204.0,400989.0"
2025-12-08,1256,multi order,"400061.0,401071.0"
2025-12-08,1257,multi order,"400989.0,400061.0"
2025-12-08,1258,multi order,"394577.0,400061.0"
2025-12-08,1259,bulk,"400698.0,400356.0"
2025-12-08,1260,bulk,"396204.0,400061.0"
2025-12-08,1261,bulk,"396204.0,400356.0"
2025-12-08,1262,bulk,"396857.0,392645.0"
2025-12-08,1263,bulk,"400356.0,400061.0"
2025-12-08,1264,bulk,"399370.0,400989.0"
2025-12-08,1265,bulk,"400698.0,400061.0"
2025-12-08,1266,multi order,"400989.0,401071.0"
2025-12-08,1267,multi order,"400356.0,400989.0"
2025-12-08,1268,bulk,"399370.0,400356.0"
2025-12-08,1269,bulk,"394577.0,400061.0"
2025-12-08,1270,multi order,"400356.0,400989.0"
2025-12-08,1271,multi order,"396204.0,400061.0"
2025-12-08,1272,bulk,"396857.0,400356.0"
2025-12-08,1273,bulk,"399370.0,400061.0"
2025-12-08,1274,bulk,"400989.0,394542.0"
2025-12-08,1275,multi order,"400356.0,400989.0"
2025-12-08,1276,multi order,"396857.0,400061.0"
2025-12-08,1277,bulk,"394577.0,400989.0"
2025-12-08,1278,bulk,"400356.0,392645.0"
2025-12-08,1279,multi order,"399370.0,400356.0"
2025-12-08,1280,multi order,"398161.0,400061.0"
2025-12-08,1281,multi order,"400356.0,400061.0"
2025-12-08,1282,multi order,"400061.0,394542.0"
2025-12-08,1283,bulk,"400989.0,401071.0"
2025-12-08,1284,bulk,"396204.0,400061.0"
2025-12-08,1285,multi order,"396857.0,400989.0"
2025-12-08,1286,bulk,"396204.0,400061.0"
2025-12-08,1287,bulk,"396857.0,400989.0"
2025-12-08,1288,bulk,"396857.0,400356.0"
2025-12-08,1289,multi order,"396857.0,396204.0"
2025-12-08,1290,bulk,"394577.0,401071.0"
2025-12-08,1291,bulk,"400356.0,400061.0"
2025-12-08,1292,bulk,"396204.0,401071.0"
2025-12-08,1293,bulk,"400989.0,400061.0"
2025-12-08,1294,bulk,"400989.0,401071.0"
2025-12-08,1295,multi order,"396204.0,400061.0"
2025-12-08,1296,bulk,"398161.0,400698.0"
2025-12-08,1297,bulk,"399370.0,400989.0"
2025-12-08,1298,bulk,"396204.0,400061.0"
2025-12-08,1299,bulk,"394577.0,401071.0"
2025-12-08,1300,bulk,"400356.0,392645.0"
2025-12-08,1301,bulk,"396857.0,400698.0"
2025-12-08,1302,bulk,"398161.0,400061.0"
2025-12-08,1303,multi order,"396857.0,400698.0"
2025-12-08,1304,bulk,"396857.0,400989.0"
2025-12-08,1305,multi order,"400061.0,401071.0"
2025-12-08,1306,multi order,"399370.0,400061.0"
2025-12-08,1307,bulk,"396857.0,396204.0"
2025-12-08,1308,bulk,"399370.0,400061.0"
2025-12-08,1309,bulk,"396857.0,400989.0"
2025-12-08,1310,multi order,"394577.0,392645.0"
2025-12-08,1311,multi order,"400356.0,400989.0"
2025-12-08,1312,multi order,"400061.0,401071.0"
2025-12-08,1313,multi order,"396857.0,399370.0"
2025-12-08,1314,multi order,"400356.0,394542.0"
2025-12-08,1315,multi order,"394577.0,399370.0"
2025-12-08,1316,bulk,"400356.0,392645.0"
2025-12-08,1317,multi order,"392645.0,400061.0"
2025-12-08,1318,multi order,"396857.0,396204.0"
2025-12-08,1319,multi order,"392645.0,400061.0"
2025-12-08,1320,bulk,"400989.0,400061.0"
2025-12-08,1321,bulk,"399370.0,400356.0"
2025-12-08,1322,bulk,"400061.0,401071.0"
2025-12-08,1323,multi order,"396857.0,394542.0"
2025-12-08,1324,bulk,"396857.0,400061.0"
2025-12-08,1325,bulk,"394577.0,396204.0"
2025-12-08,1326,bulk,"400061.0,401071.0"
2025-12-08,1327,bulk,"394577.0,396204.0"
2025-12-08,1328,bulk,"394577.0,394542.0"
2025-12-08,1329,bulk,"394542.0,401071.0"
2025-12-08,1330,multi order,"394577.0,399370.0"
2025-12-08,1331,multi order,"400356.0,400061.0"
2025-12-08,1332,multi order,"398161.0,394542.0"
2025-12-08,1333,multi order,"394577.0,392645.0"
2025-12-08,1334,bulk,"394542.0,401071.0"
2025-12-08,1335,bulk,"396204.0,400061.0"
2025-12-08,1336,multi order,"399370.0,400356.0"
2025-12-08,1337,bulk,"400356.0,401071.0"
2025-12-08,1338,bulk,"392645.0,400061.0"
2025-12-08,1339,multi order,"394577.0,400356.0"
2025-12-08,1340,bulk,"396204.0,392645.0"
2025-12-08,1341,multi order,"400989.0,400061.0"
2025-12-08,1342,bulk,"400356.0,400061.0"
2025-12-08,1343,bulk,"394577.0,400989.0"
2025-12-08,1344,multi order,"396857.0,400061.0"
2025-12-08,1345,bulk,"396204.0,400989.0"
2025-12-08,1346,bulk,"399370.0,400989.0"
2025-12-08,1347,multi order,"400356.0,400989.0"
2025-12-08,1348,bulk,"394577.0,396857.0"
2025-12-08,1349,bulk,"394577.0,400061.0"
2025-12-08,1350,multi order,"396857.0,394542.0"
2025-12-08,1351,bulk,"398161.0,400356.0"
2025-12-08,1352,bulk,"399370.0,400989.0"
2025-12-08,1353,bulk,"396204.0,400061.0"
2025-12-08,1354,bulk,"396857.0,400989.0"
2025-12-08,1355,bulk,"396204.0,400061.0"
2025-12-08,1356,multi order,"394577.0,400061.0"
2025-12-08,1357,multi order,"396857.0,400989.0"
2025-12-08,1358,multi order,"398161.0,400061.0"
2025-12-08,1359,bulk,"396204.0,392645.0"
2025-12-08,1360,bulk,"400989.0,400061.0"
2025-12-08,1361,multi order,"398161.0,396857.0"
2025-12-08,1362,bulk,"400061.0,401071.0"
2025-12-08,1363,bulk,"396857.0,400061.0"
2025-12-08,1364,bulk,"396204.0,400989.0"
2025-12-08,1365,bulk,"396857.0,400356.0"
2025-12-08,1366,bulk,"394542.0,401071.0"
2025-12-08,1367,bulk,"396857.0,392645.0"
2025-12-08,1368,bulk,"400989.0,400061.0"
2025-12-08,1369,bulk,"400698.0,394542.0"
2025-12-08,1370,bulk,"396204.0,400061.0"
2025-12-08,1371,bulk,"396857.0,400989.0"
2025-12-08,1372,bulk,"400356.0,400061.0"
2025-12-08,1373,bulk,"396857.0,401071.0"
2025-12-08,1374,multi order,"396204.0,400061.0"
2025-12-08,1375,bulk,"400356.0,394542.0"
2025-12-08,1376,bulk,"399370.0,400989.0"
2025-12-08,1377,bulk,"396857.0,394542.0"
2025-12-08,1378,bulk,"392645.0,401071.0"
2025-12-08,1379,multi order,"399370.0,400061.0"
2025-12-08,1380,bulk,"400698.0,394542.0"
2025-12-08,1381,bulk,"400989.0,400061.0"
2025-12-08,1382,multi order,"396857.0,400061.0"
2025-12-08,1383,bulk,"398161.0,396204.0"
2025-12-08,1384,bulk,"394577.0,400989.0"
2025-12-08,1385,bulk,"400356.0,401071.0"
2025-12-08,1386,bulk,"396857.0,400061.0"
2025-12-08,1387,multi order,"398161.0,400061.0"
2025-12-08,1388,bulk,"399370.0,400989.0"
2025-12-08,1389,multi order,"400356.0,400061.0"
2025-12-08,1390,bulk,"396857.0,396204.0"
2025-12-08,1391,multi order,"396857.0,400356.0"
2025-12-08,1392,multi order,"400989.0,400061.0"
2025-12-08,1393,bulk,"400356.0,400061.0"
2025-12-08,1394,multi order,"394577.0,399370.0"
2025-12-08,1395,bulk,"392645.0,400061.0"
2025-12-08,1396,multi order,"399370.0,394542.0"
2025-12-08,1397,bulk,"400698.0,400356.0"
2025-12-08,1398,multi order,"400356.0,400989.0"
2025-12-08,1399,bulk,"399370.0,396204.0"
2025-12-08,1400,multi order,"398161.0,396857.0"
2025-12-08,1401,multi order,"392645.0,394542.0"
2025-12-08,1402,multi order,"400356.0,400989.0"
2025-12-08,1403,bulk,"394577.0,394542.0"
2025-12-08,1404,bulk,"396204.0,401071.0"
2025-12-08,1405,bulk,"392645.0,394542.0"
2025-12-08,1406,multi order,"400061.0,394542.0"
2025-12-08,1407,bulk,"394577.0,394542.0"
2025-12-08,1408,bulk,"400356.0,392645.0"
2025-12-08,1409,bulk,"394577.0,400989.0"
2025-12-08,1410,bulk,"396857.0,400061.0"
2025-12-08,1411,bulk,"400356.0,400061.0"
2025-12-08,1412,bulk,"396857.0,400356.0"
2025-12-08,1413,bulk,"394577.0,399370.0"
2025-12-08,1414,multi order,"396204.0,400989.0"
2025-12-08,1415,bulk,"396857.0,401071.0"
2025-12-08,1416,bulk,"399370.0,400989.0"
2025-12-08,1417,bulk,"394577.0,396857.0"
2025-12-08,1418,bulk,"400356.0,400989.0"
2025-12-08,1419,bulk,"394577.0,400356.0"
2025-12-08,1420,bulk,"398161.0,400698.0"
2025-12-08,1421,bulk,"396857.0,399370.0"
2025-12-08,1422,bulk,"400698.0,399370.0"
2025-12-08,1423,multi order,"398161.0,394542.0"
2025-12-08,1424,bulk,"398161.0,399370.0"
2025-12-08,1425,multi order,"396204.0,400989.0"
2025-12-08,1426,bulk,"394577.0,400356.0"
2025-12-08,1427,multi order,"396857.0,399370.0"
2025-12-08,1428,bulk,"400989.0,400061.0"
2025-12-08,1429,bulk,"396857.0,400698.0"
2025-12-08,1430,bulk,"398161.0,392645.0"
2025-12-08,1431,multi order,"400356.0,400989.0"
2025-12-08,1432,bulk,"394577.0,392645.0"
2025-12-08,1433,multi order,"400989.0,400061.0"
2025-12-08,1434,bulk,"394542.0,401071.0"
2025-12-08,1435,bulk,"396857.0,400356.0"
2025-12-08,1436,bulk,"396204.0,394542.0"
2025-12-08,1437,multi order,"400356.0,400061.0"
2025-12-08,1438,bulk,"400989.0,400061.0"
2025-12-08,1439,bulk,"399370.0,400061.0"
2025-12-08,1440,multi order,"396857.0,396204.0"
2025-12-08,1441,bulk,"400356.0,401071.0"
2025-12-08,1442,bulk,"396204.0,392645.0"
2025-12-08,1443,bulk,"400989.0,394542.0"
2025-12-08,1444,multi order,"394577.0,400989.0"
2025-12-08,1445,bulk,"396857.0,400061.0"
2025-12-08,1446,multi order,"399370.0,392645.0"
2025-12-08,1447,multi order,"394577.0,400356.0"
2025-12-08,1448,multi order,"400989.0,392645.0"
2025-12-08,1449,bulk,"396204.0,400356.0"
2025-12-08,1450,bulk,"399370.0,401071.0"
2025-12-08,1451,multi order,"394577.0,400061.0"
2025-12-08,1452,bulk,"392645.0,394542.0"
2025-12-08,1453,multi order,"396857.0,394542.0"
2025-12-08,1454,multi order,"400356.0,392645.0"
2025-12-08,1455,bulk,"399370.0,400061.0"
2025-12-08,1456,multi order,"394577.0,396857.0"
2025-12-08,1457,bulk,"400698.0,400356.0"
2025-12-08,1458,bulk,"398161.0,400989.0"
2025-12-08,1459,multi order,"400698.0,400061.0"
2025-12-08,1460,bulk,"399370.0,396204.0"
2025-12-08,1461,multi order,"400356.0,400989.0"
2025-12-08,1462,multi order,"396857.0,400989.0"
2025-12-08,1463,multi order,"396204.0,400061.0"
2025-12-08,1464,bulk,"396857.0,400061.0"
2025-12-08,1465,multi order,"394577.0,396204.0"
2025-12-08,1466,multi order,"396857.0,400061.0"
2025-12-08,1467,bulk,"394577.0,399370.0"
2025-12-08,1468,bulk,"394577.0,400356.0"
2025-12-08,1469,multi order,"396204.0,394542.0"
2025-12-08,1470,bulk,"396857.0,394542.0"
2025-12-08,1471,bulk,"394542.0,401071.0"
2025-12-08,1472,multi order,"400698.0,400061.0"
2025-12-08,1473,multi order,"396857.0,392645.0"
2025-12-08,1474,bulk,"400698.0,400989.0"
2025-12-08,1475,bulk,"394542.0,401071.0"
2025-12-08,1476,bulk,"396204.0,400061.0"
2025-12-08,1477,multi order,"394577.0,396204.0"
2025-12-08,1478,bulk,"396857.0,400061.0"
2025-12-08,1479,bulk,"394577.0,396204.0"
2025-12-08,1480,bulk,"396857.0,394542.0"
2025-12-08,1481,multi order,"394577.0,400061.0"
2025-12-08,1482,multi order,"400356.0,394542.0"
2025-12-08,1483,multi order,"400989.0,394542.0"
2025-12-08,1484,bulk,"396204.0,392645.0"
2025-12-08,1485,multi order,"399370.0,400061.0"
2025-12-08,1486,multi order,"394577.0,392645.0"
2025-12-08,1487,bulk,"394577.0,400356.0"
2025-12-08,1488,bulk,"400061.0,401071.0"
2025-12-08,1489,multi order,"396857.0,396204.0"
2025-12-08,1490,multi order,"400989.0,400061.0"
2025-12-08,1491,bulk,"394577.0,399370.0"
2025-12-08,1492,bulk,"400356.0,401071.0"
2025-12-08,1493,bulk,"396204.0,392645.0"
2025-12-08,1494,bulk,"396857.0,400061.0"
2025-12-08,1495,multi order,"396204.0,394542.0"
2025-12-08,1496,multi order,"400356.0,392645.0"
2025-12-08,1497,bulk,"396204.0,401071.0"
2025-12-08,1498,bulk,"396204.0,400989.0"
2025-12-08,1499,bulk,"394577.0,396857.0"
2025-12-08,1500,bulk,"392645.0,394542.0"
2025-12-08,1501,bulk,"400061.0,394542.0"
2025-12-08,1502,bulk,"396204.0,400989.0"
2025-12-08,1503,bulk,"398161.0,400356.0"
2025-12-08,1504,bulk,"392645.0,401071.0"
2025-12-08,1505,multi order,"394577.0,400061.0"
2025-12-08,1506,bulk,"396857.0,401071.0"
2025-12-08,1507,bulk,"394577.0,396857.0"
2025-12-08,1508,multi order,"396857.0,394542.0"
2025-12-08,1509,bulk,"392645.0,401071.0"
2025-12-08,1510,bulk,"396857.0,400061.0"
2025-12-08,1511,bulk,"400989.0,400061.0"
2025-12-08,1512,multi order,"396857.0,401071.0"
2025-12-08,1513,bulk,"400356.0,400989.0"
2025-12-08,1514,bulk,"396857.0,400061.0"
2025-12-08,1515,bulk,"394577.0,401071.0"
2025-12-08,1516,multi order,"396204.0,400989.0"
2025-12-08,1517,bulk,"400989.0,401071.0"
2025-12-08,1518,multi order,"396204.0,400989.0"
2025-12-08,1519,bulk,"394577.0,396857.0"
2025-12-08,1520,multi order,"396857.0,394542.0"
2025-12-08,1521,bulk,"400356.0,396204.0"
2025-12-08,1522,multi order,"396857.0,392645.0"
2025-12-08,1523,multi order,"400356.0,394542.0"
2025-12-08,1524,bulk,"396204.0,400989.0"
2025-12-08,1525,multi order,"394577.0,401071.0"
2025-12-08,1526,bulk,"400356.0,400061.0"
2025-12-08,1527,bulk,"394577.0,401071.0"
2025-12-08,1528,bulk,"396204.0,394542.0"
2025-12-08,1529,bulk,"396857.0,400989.0"
2025-12-08,1530,bulk,"396204.0,401071.0"
2025-12-08,1531,bulk,"392645.0,394542.0"
2025-12-08,1532,multi order,"396857.0,400061.0"
2025-12-08,1533,bulk,"400356.0,401071.0"
2025-12-08,1534,multi order,"398161.0,399370.0"
2025-12-08,1535,bulk,"396857.0,400989.0"
2025-12-08,1536,multi order,"396857.0,396204.0"
2025-12-08,1537,multi order,"400061.0,394542.0"
2025-12-08,1538,bulk,"394577.0,396204.0"
2025-12-08,1539,bulk,"396204.0,394542.0"
2025-12-08,1540,bulk,"398161.0,401071.0"
2025-12-08,1541,bulk,"394577.0,400989.0"
2025-12-08,1542,bulk,"399370.0,400989.0"
2025-12-08,1543,bulk,"394577.0,400061.0"
2025-12-08,1544,multi order,"399370.0,400356.0"
2025-12-08,1545,multi order,"396204.0,394542.0"
2025-12-08,1546,bulk,"400989.0,401071.0"
2025-12-08,1547,multi order,"396857.0,400989.0"
2025-12-08,1548,bulk,"396204.0,392645.0"
2025-12-08,1549,bulk,"394577.0,400061.0"
2025-12-08,1550,bulk,"392645.0,400989.0"
2025-12-08,1551,multi order,"396204.0,400989.0"
2025-12-08,1552,bulk,"400356.0,400989.0"
2025-12-08,1553,bulk,"396204.0,400061.0"
2025-12-08,1554,bulk,"396857.0,399370.0"
2025-12-08,1555,multi order,"400356.0,400061.0"
2025-12-08,1556,bulk,"396204.0,392645.0"
2025-12-08,1557,multi order,"398161.0,399370.0"
2025-12-08,1558,bulk,"400061.0,394542.0"
2025-12-08,1559,bulk,"396857.0,400061.0"
2025-12-08,1560,bulk,"400356.0,394542.0"
2025-12-08,1561,bulk,"400989.0,394542.0"
2025-12-08,1562,bulk,"394577.0,400061.0"
2025-12-08,1563,multi order,"396857.0,396204.0"
2025-12-08,1564,bulk,"400356.0,400989.0"
2025-12-08,1565,bulk,"396857.0,400061.0"
2025-12-08,1566,multi order,"400356.0,400989.0"
2025-12-08,1567,multi order,"394577.0,400061.0"
2025-12-08,1568,multi order,"399370.0,400989.0"
2025-12-08,1569,multi order,"400061.0,394542.0"
2025-12-08,1570,bulk,"398161.0,400061.0"
2025-12-08,1571,bulk,"392645.0,394542.0"
2025-12-08,1572,bulk,"396857.0,392645.0"
2025-12-08,1573,multi order,"398161.0,400356.0"
2025-12-08,1574,multi order,"396857.0,396204.0"
2025-12-08,1575,bulk,"394577.0,396857.0"
2025-12-08,1576,bulk,"400061.0,401071.0"
2025-12-08,1577,multi order,"396204.0,394542.0"
2025-12-08,1578,bulk,"400356.0,400989.0"
2025-12-08,1579,multi order,"400989.0,400061.0"
2025-12-08,1580,bulk,"394577.0,396204.0"
2025-12-08,1581,multi order,"396857.0,399370.0"
2025-12-08,1582,bulk,"396204.0,400989.0"
2025-12-08,1583,bulk,"396857.0,400989.0"
2025-12-08,1584,bulk,"399370.0,400356.0"
2025-12-08,1585,bulk,"396204.0,400061.0"
2025-12-08,1586,bulk,"394577.0,400061.0"
2025-12-08,1587,multi order,"396857.0,394542.0"
2025-12-08,1588,bulk,"396857.0,396204.0"
2025-12-08,1589,multi order,"394577.0,400989.0"
2025-12-08,1590,multi order,"396204.0,401071.0"
2025-12-08,1591,bulk,"394577.0,396857.0"
2025-12-08,1592,bulk,"394577.0,399370.0"
2025-12-08,1593,bulk,"396857.0,396204.0"
2025-12-08,1594,multi order,"399370.0,400989.0"
2025-12-08,1595,multi order,"394577.0,401071.0"
2025-12-08,1596,bulk,"400356.0,392645.0"
2025-12-08,1597,bulk,"398161.0,396857.0"
2025-12-08,1598,bulk,"400356.0,392645.0"
2025-12-08,1599,bulk,"398161.0,400061.0"
2025-12-08,1600,multi order,"396204.0,400356.0"
2025-12-08,1601,multi order,"394542.0,401071.0"
2025-12-08,1602,bulk,"396857.0,394542.0"
2025-12-08,1603,bulk,"400356.0,400989.0"
2025-12-08,1604,bulk,"400356.0,394542.0"
2025-12-08,1605,multi order,"396857.0,400061.0"
2025-12-08,1606,bulk,"394577.0,396857.0"
2025-12-08,1607,bulk,"396204.0,400989.0"
2025-12-08,1608,bulk,"400356.0,401071.0"
2025-12-08,1609,multi order,"398161.0,392645.0"
2025-12-08,1610,bulk,"396857.0,400061.0"
2025-12-08,1611,bulk,"398161.0,400989.0"
2025-12-08,1612,bulk,"392645.0,400061.0"
2025-12-08,1613,multi order,"400356.0,400061.0"
2025-12-08,1614,bulk,"396204.0,400061.0"
2025-12-08,1615,bulk,"394577.0,400989.0"
2025-12-08,1616,multi order,"396857.0,394542.0"
2025-12-08,1617,multi order,"400356.0,392645.0"
2025-12-08,1618,multi order,"400989.0,400061.0"
2025-12-08,1619,bulk,"392645.0,394542.0"
2025-12-08,1620,bulk,"400356.0,400061.0"
2025-12-08,1621,multi order,"396204.0,400989.0"
2025-12-08,1622,multi order,"392645.0,394542.0"
2025-12-08,1623,bulk,"396857.0,400989.0"
2025-12-08,1624,bulk,"400356.0,392645.0"
2025-12-08,1625,bulk,"400989.0,394542.0"
2025-12-08,1626,bulk,"400356.0,396204.0"
2025-12-08,1627,bulk,"400989.0,400061.0"
2025-12-08,1628,bulk,"399370.0,396204.0"
2025-12-08,1629,multi order,"396204.0,400989.0"
2025-12-08,1630,bulk,"400698.0,401071.0"
2025-12-08,1631,bulk,"396857.0,400061.0"
2025-12-08,1632,bulk,"396204.0,400061.0"
2025-12-08,1633,multi order,"396857.0,400061.0"
2025-12-08,1634,multi order,"400356.0,396204.0"
2025-12-08,1635,multi order,"396857.0,399370.0"
2025-12-08,1636,multi order,"396204.0,400061.0"
2025-12-08,1637,bulk,"400356.0,400061.0"
2025-12-08,1638,bulk,"396857.0,400989.0"
2025-12-08,1639,bulk,"400356.0,400061.0"
2025-12-08,1640,bulk,"396857.0,396204.0"
2025-12-08,1641,bulk,"398161.0,399370.0"
2025-12-08,1642,multi order,"396857.0,400356.0"
2025-12-08,1643,bulk,"396857.0,399370.0"
2025-12-08,1644,multi order,"400356.0,394542.0"
2025-12-08,1645,bulk,"399370.0,396204.0"
2025-12-08,1646,bulk,"400356.0,394542.0"
2025-12-08,1647,multi order,"394577.0,400061.0"
2025-12-08,1648,bulk,"396204.0,392645.0"
2025-12-08,1649,bulk,"396857.0,396204.0"
2025-12-08,1650,multi order,"394577.0,396204.0"
2025-12-08,1651,multi order,"396857.0,401071.0"
2025-12-08,1652,bulk,"396204.0,392645.0"
2025-12-08,1653,multi order,"396857.0,400356.0"
2025-12-08,1654,bulk,"396204.0,401071.0"
2025-12-08,1655,bulk,"394577.0,400989.0"
2025-12-08,1656,multi order,"396857.0,401071.0"
2025-12-08,1657,multi order,"399370.0,400061.0"
2025-12-08,1658,multi order,"400989.0,392645.0"
2025-12-08,1659,multi order,"394577.0,400356.0"
2025-12-08,1660,bulk,"396204.0,401071.0"
2025-12-08,1661,multi order,"400989.0,392645.0"
2025-12-08,1662,bulk,"400989.0,400061.0"
2025-12-08,1663,bulk,"396857.0,400356.0"
2025-12-08,1664,multi order,"400356.0,400989.0"
2025-12-08,1665,multi order,"400989.0,400061.0"
2025-12-08,1666,multi order,"396857.0,400989.0"
2025-12-08,1667,bulk,"400989.0,401071.0"
2025-12-08,1668,multi order,"400356.0,396204.0"
2025-12-08,1669,bulk,"396857.0,401071.0"
2025-12-08,1670,multi order,"396204.0,400061.0"
2025-12-08,1671,bulk,"400061.0,401071.0"
2025-12-08,1672,multi order,"392645.0,400061.0"
2025-12-08,1673,bulk,"400356.0,392645.0"
2025-12-08,1674,bulk,"396204.0,401071.0"
2025-12-08,1675,bulk,"398161.0,396857.0"
2025-12-08,1676,multi order,"394577.0,400061.0"
2025-12-08,1677,bulk,"396857.0,401071.0"
2025-12-08,1678,multi order,"394577.0,394542.0"
2025-12-08,1679,bulk,"400061.0,401071.0"
2025-12-08,1680,bulk,"396204.0,400989.0"
2025-12-08,1681,multi order,"398161.0,400989.0"
2025-12-08,1682,multi order,"400356.0,400061.0"
2025-12-08,1683,multi order,"400356.0,392645.0"
2025-12-08,1684,bulk,"396857.0,400989.0"
2025-12-08,1685,bulk,"399370.0,400356.0"
2025-12-08,1686,bulk,"398161.0,400061.0"
2025-12-08,1687,bulk,"396857.0,400698.0"
2025-12-08,1688,bulk,"392645.0,400061.0"
2025-12-08,1689,bulk,"400989.0,394542.0"
2025-12-08,1690,bulk,"400989.0,400061.0"
2025-12-08,1691,bulk,"396204.0,400989.0"
2025-12-08,1692,multi order,"396857.0,400989.0"
2025-12-08,1693,multi order,"394577.0,400356.0"
2025-12-08,1694,bulk,"396857.0,392645.0"
2025-12-08,1695,bulk,"394577.0,392645.0"
2025-12-08,1696,multi order,"394577.0,396857.0"
2025-12-08,1697,bulk,"400989.0,394542.0"
2025-12-08,1698,multi order,"400356.0,401071.0"
2025-12-08,1699,multi order,"396857.0,400989.0"
2025-12-08,1700,bulk,"400989.0,400061.0"
2025-12-08,1701,bulk,"398161.0,396857.0"
2025-12-08,1702,bulk,"394577.0,400061.0"
2025-12-08,1703,bulk,"400356.0,400989.0"
2025-12-08,1704,bulk,"394577.0,400061.0"
2025-12-08,1705,bulk,"400989.0,394542.0"
2025-12-08,1706,bulk,"400989.0,400061.0"
2025-12-08,1707,multi order,"399370.0,401071.0"
2025-12-08,1708,bulk,"396857.0,400989.0"
2025-12-08,1709,bulk,"400061.0,401071.0"
2025-12-08,1710,multi order,"394577.0,400061.0"
2025-12-08,1711,bulk,"396857.0,400356.0"
2025-12-08,1712,multi order,"400989.0,401071.0"
2025-12-08,1713,multi order,"400698.0,400061.0"
2025-12-08,1714,multi order,"396204.0,400356.0"
2025-12-08,1715,multi order,"396857.0,399370.0"
2025-12-08,1716,multi order,"396204.0,392645.0"
2025-12-08,1717,bulk,"398161.0,394542.0"
2025-12-08,1718,bulk,"400989.0,392645.0"
2025-12-08,1719,multi order,"392645.0,400061.0"
2025-12-08,1720,bulk,"394577.0,401071.0"
2025-12-08,1721,multi order,"399370.0,400989.0"
2025-12-08,1722,bulk,"400356.0,394542.0"
2025-12-08,1723,multi order,"392645.0,400061.0"
2025-12-08,1724,bulk,"396857.0,400989.0"
2025-12-08,1725,multi order,"396857.0,400356.0"
2025-12-08,1726,bulk,"398161.0,401071.0"
2025-12-08,1727,multi order,"400698.0,400356.0"
2025-12-08,1728,bulk,"396857.0,392645.0"
2025-12-08,1729,bulk,"400356.0,400061.0"
2025-12-08,1730,bulk,"394577.0,396857.0"
2025-12-08,1731,bulk,"400989.0,401071.0"
2025-12-08,1732,bulk,"396204.0,400061.0"
2025-12-08,1733,multi order,"394577.0,400989.0"
2025-12-08,1734,bulk,"394577.0,400061.0"
2025-12-08,1735,bulk,"394577.0,394542.0"
2025-12-08,1736,multi order,"396857.0,401071.0"
2025-12-08,1737,bulk,"400061.0,394542.0"
2025-12-08,1738,bulk,"394577.0,400989.0"
2025-12-08,1739,bulk,"396204.0,392645.0"
2025-12-08,1740,multi order,"396857.0,396204.0"
2025-12-08,1741,multi order,"400356.0,400989.0"
2025-12-08,1742,bulk,"394577.0,396857.0"
2025-12-08,1743,bulk,"399370.0,401071.0"
2025-12-08,1744,bulk,"400989.0,401071.0"
2025-12-08,1745,bulk,"399370.0,400061.0"
2025-12-08,1746,bulk,"394577.0,392645.0"
2025-12-08,1747,bulk,"394542.0,401071.0"
2025-12-08,1748,bulk,"394577.0,396857.0"
2025-12-08,1749,bulk,"398161.0,392645.0"
2025-12-08,1750,bulk,"394577.0,396857.0"
